Chart,Alert_ID,Tool,Resource,Query,Original_YAML
traefik-hub,CKV_K8S_21,checkov,"['ServiceAccount/default/traefik-hub', '']","You are a software engineer working on a Kubernetes project. You need to refactor the following ServiceAccount YAML resource because the default namespace should not be used. You must only generate YAML code between --- characters, with no additional text or description.","{'kind': 'ServiceAccount', 'apiVersion': 'v1', 'metadata': {'name': 'traefik-hub', 'namespace': 'default', 'labels': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default', 'helm.sh/chart': 'traefik-hub-4.2.0', 'app.kubernetes.io/managed-by': 'Helm'}}, 'automountServiceAccountToken': False}"
traefik-hub,CKV_K8S_21,checkov,"['Secret/default/hub-agent-cert', '']","You are a software engineer working on a Kubernetes project. You need to refactor the following Secret YAML resource because the default namespace should not be used. You must only generate YAML code between --- characters, with no additional text or description.","{'apiVersion': 'v1', 'kind': 'Secret', 'type': 'kubernetes.io/tls', 'metadata': {'name': 'hub-agent-cert', 'namespace': 'default', 'labels': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default', 'helm.sh/chart': 'traefik-hub-4.2.0', 'app.kubernetes.io/managed-by': 'Helm'}}, 'data': {'tls.crt': 'LS0tLS1CRUdJTiBDRVJUSUZJQ0FURS0tLS0tCk1JSURLekNDQWhPZ0F3SUJBZ0lRU2UweXdSVHJ1bVU2bU90RUdlUkNqREFOQmdrcWhraUc5dzBCQVFzRkFEQWcKTVI0d0hBWURWUVFERXhWaFpHMXBjM05wYjI0dVpHVm1ZWFZzZEM1emRtTXdIaGNOTWpVd016STVNVFl4TlRBMgpXaGNOTWpZd016STVNVFl4TlRBMldqQWdNUjR3SEFZRFZRUURFeFZoWkcxcGMzTnBiMjR1WkdWbVlYVnNkQzV6CmRtTXdnZ0VpTUEwR0NTcUdTSWIzRFFFQkFRVUFBNElCRHdBd2dnRUtBb0lCQVFEVGk4RG44dE5Dd1NIMVlOZ2YKSVkyeGp2Z1luVDV1MlFIMjdHTS9MRDdZR3YwUTIrV2tnL1NqUm1YcE5KMGxKVHlWR2tScEhnUm9LVzIvekJpNQpGWDV2aHJKRjQxWUN4cTNDWllMK2NOSHUreWU3dk1wZENyT1hLZWNQMDVoTDdmU1ZqTGFVMzRJcG1aVDdZaUZHCmhPMFlERWJEVzNNV0tyOTlxUldLSE1wcVJWaFBWemdUZjFiRldmR21DZE90V1JSRE5rTVcrMGs2K3NkTUU4YTIKV0YxL0UvR212bTFxVkw0SXV2SE91elZNZWluZnErWDlzK2NISDBwRGM1emxpR3pUMHpWQ1dDOEp0eU5hRmlrMwpJMmRPUnV5bnU1cmlKMHBCbk9La3A3aFJQOHJqQ3lEL2dUbFJQMDl0MmtlNEpUczZFc2lyZHhxZDlDNXlWRGI3CkNoaDlBZ01CQUFHallUQmZNQTRHQTFVZER3RUIvd1FFQXdJRm9EQWRCZ05WSFNVRUZqQVVCZ2dyQmdFRkJRY0QKQVFZSUt3WUJCUVVIQXdJd0RBWURWUjBUQVFIL0JBSXdBREFnQmdOVkhSRUVHVEFYZ2hWaFpHMXBjM05wYjI0dQpaR1ZtWVhWc2RDNXpkbU13RFFZSktvWklodmNOQVFFTEJRQURnZ0VCQUYzNVlQUDZNd3YyY2lTZG5Wcmk4N25KCkZHdFU1dW9qbmVsZ3B2OFF5RkJFZS94MXRTa1V0UWg0elVSTkZMa0RIbVZ2RHpncXhJeWd0L1UrNVRXQmJSakcKditiVUFFd1JLRmMzVXNsWHNxWElWTzExMnJUT1k2TEg3bEhuQzNGZWU3SDMxOG9oYzVaYmtyeS9EU2UyOU5pRAo4SURKTHJDOGVvUzhzK2ZlRjRDUnNNZGVhdDlnMytxRm5yL0VyVTlDZVh2MnFSai9PbG50YktDSFRSOERnR1JOCk9OaC9sUmVuUGpVN0t3RXpWbzV6RktaUEhxMmllYU9zRlhYT0VoQmVobnhVOXB5ckpvVUsxdDd0a0RMRWFlTncKV3dJWlBweVF6NVlZdjhLdzJYM3BFSGJIa2R4cHJIblMrRG9lNTlUcnYyT1RPZWlTY0NKbUc2YnI2SHdReDhZPQotLS0tLUVORCBDRVJUSUZJQ0FURS0tLS0tCg==', 'tls.key': 'LS0tLS1CRUdJTiBSU0EgUFJJVkFURSBLRVktLS0tLQpNSUlFb3dJQkFBS0NBUUVBMDR2QTUvTFRRc0VoOVdEWUh5R05zWTc0R0owK2J0a0I5dXhqUHl3KzJCcjlFTnZsCnBJUDBvMFpsNlRTZEpTVThsUnBFYVI0RWFDbHR2OHdZdVJWK2I0YXlSZU5XQXNhdHdtV0MvbkRSN3ZzbnU3eksKWFFxemx5bm5EOU9ZUyszMGxZeTJsTitDS1ptVSsySWhSb1R0R0F4R3cxdHpGaXEvZmFrVmloektha1ZZVDFjNApFMzlXeFZueHBnblRyVmtVUXpaREZ2dEpPdnJIVEJQR3RsaGRmeFB4cHI1dGFsUytDTHJ4enJzMVRIb3AzNnZsCi9iUG5CeDlLUTNPYzVZaHMwOU0xUWxndkNiY2pXaFlwTnlOblRrYnNwN3VhNGlkS1FaemlwS2U0VVQvSzR3c2cKLzRFNVVUOVBiZHBIdUNVN09oTElxM2NhbmZRdWNsUTIrd29ZZlFJREFRQUJBb0lCQUFNS2FUVnNTaGtWaVpWcgpWTy90blluRjBrOFlRNE40WHd6YmpQbWxleW5FQ1lzcWZmeUZZUWpQeERzNzVGNWFVS3FiL0F1K3dMVjJrdnRFCnhiNHpUdVB2ZmJSL2RnY0lNQXN4UmxhOTdHYVErWnM3TlhWczUvUHVTRUh6K3Fac3Z5MC9Ib2k1UmJldlczTFoKa0R6aFFEOHVQZjRrM0Z5Zk5LMXJ0c0dMZEdWZW54dW45bm9ONTJIOGhIWEY2TUpxempOUFI1YU1MeTlnTkxTdwo1WnltSjNuWlEwbTk4SjgxclJBaTdVaisvcWtSTzRFMHVaVXBLcUhidEJXY0ZDay9EL1N6czhaQzA0eWlkQWtLCjhLWEs0UjVXYUlmRHRUV29DVjhzYzNhMGlSNFgvNkZvVE9QOEdITjRNQkNKaVZKY0RZMlQvdzU1TkswUFpKeXYKNjZ6dW9Ra0NnWUVBNXdFdlhTSUR4clhpYlhwOE8wN0NJbE9udzRQT3YvRlJSV2NOQk9CdGFzWno3a0t6M1Z6YgphRHZvQXpVcWlWRVBTY1VVeVdZNUZIVUtzRnZLV1RYTGxyMzYxS0FicmE1OStQWTZUMVBDNTJBbVZMSnNSVGpXCmdMRFBOV1VLZTJJRWhqUUxkMXI1MGEzaXN3N1VBbTdaZDB1NHRwd1BSMGs0dE5vdjFPWGtuOGNDZ1lFQTZtK1EKTFFMRm9wSHdtZFVJU1hoQTVuMk96RUpBTFFJVkdtR1orRSs3RllHSFB1Zklzb2FaVkRoeHpHRDJaM3Nzd2hkRQpTQnJQSUFRaEhpc0RqVDdsUmgyTUo1TGF1UEU4UHFNdm8xWXdiQWhZVnp0Y0hVN0FlVmF4eUtkdGRMOFpHZWdXCmFPTEVLVUJFUjJKazRkbC85NnFJcENQOCszckNvVC95UjhMOXpac0NnWUJISE45R3pXVGFORDNiTS95d2lVTk0KSy9LV1JxcEwvbTdsYlo3ZFpIVnFqR005OHJ6S0pYN0pyTDkwMVZZZDVaMU9PV1IzeDRkRTIrOEpjWWh1UkJoRApkSUtXR0IvTkxNMU02Z2Z6U2JiVFlZOExQYzRFMVVWN1luSzNYajZHMHhyUGNaQWlFeGlheXV2aDhXdWt3QmtrCkYyUnFtc285U0xZelBvUEJCM0NGR3dLQmdRQ2dRTGplZTltYmdvVmtzcUlpanNoV2hwZVpldVFob0IzSzFkTUoKVVg5Q2VUTjVSYm9FaDB2Q3JYN2t4WmRLTDRIdC96ZVd6blN0bndVQWVVakpRYWc2WUxKUXp1c2lwd3lXaUxoawp2K01EeGtTVkJLZTRCUUEvTVlyLzdhczl0ZSt6ck5tOHd0NXlrRkxjTlI5ZTMyM0JYOXBkMFpmNlUvVTlndGZjClJDZDRad0tCZ0JEMDAzL29seWg3em5sZ01XTjg2UzZ0NGs2YXJUTXZNNk5KaWRJTmZSUkwrZXNxSVk0SitCNGQKOHpXRE9JVTd2K1dNdFJPK0FsMEdLRDhmQzRjRnNaeVV2c1Z3cWN3WGpKOHdRQ3BDd2h3V09QcjVLc3NxTFBrWgpKekdzMFB4K0lzL0c5OGdpNVo4Sk82LzRoV3piRlRvMUE1eGRxWXVYSVVEWTZjVU5kTHNUCi0tLS0tRU5EIFJTQSBQUklWQVRFIEtFWS0tLS0tCg=='}}"
traefik-hub,CKV_K8S_21,checkov,"['Service/default/admission', '']","You are a software engineer working on a Kubernetes project. You need to refactor the following Service YAML resource because the default namespace should not be used. You must only generate YAML code between --- characters, with no additional text or description.","{'apiVersion': 'v1', 'kind': 'Service', 'metadata': {'name': 'admission', 'namespace': 'default', 'labels': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default', 'helm.sh/chart': 'traefik-hub-4.2.0', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'ports': [{'name': 'https', 'port': 443, 'targetPort': 'admission'}], 'selector': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default'}}}"
traefik-hub,CKV_K8S_21,checkov,"['Service/default/traefik-hub', '']","You are a software engineer working on a Kubernetes project. You need to refactor the following Service YAML resource because the default namespace should not be used. You must only generate YAML code between --- characters, with no additional text or description.","{'apiVersion': 'v1', 'kind': 'Service', 'metadata': {'name': 'traefik-hub', 'namespace': 'default', 'labels': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default', 'helm.sh/chart': 'traefik-hub-4.2.0', 'app.kubernetes.io/managed-by': 'Helm'}, 'annotations': None}, 'spec': {'type': 'LoadBalancer', 'allocateLoadBalancerNodePorts': None, 'selector': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default'}, 'ports': [{'name': 'web', 'port': 80, 'targetPort': 'web'}, {'name': 'websecure', 'port': 443, 'targetPort': 'websecure'}]}}"
traefik-hub,CKV_K8S_13,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']","You are a software engineer working on a Kubernetes project. You need to refactor the following Deployment YAML resource because memory limits should be set. You must only generate YAML code between --- characters, with no additional text or description.","{'image': 'ghcr.io/traefik/traefik-hub:v2.11.0', 'imagePullPolicy': 'IfNotPresent', 'name': 'traefik', 'args': ['ic', '--entrypoints.metrics.address=:9100', '--entrypoints.traefik.address=:9000', '--entrypoints.web.address=:8000', '--entrypoints.websecure.address=:8443', '--entrypoints.websecure.http.tls=true', '--hub.admission.listenAddr=:7500', '--hub.token=$(HUB_TOKEN)', '--metrics.prometheus.entryPoint=metrics', '--ping.entrypoint=traefik', '--providers.kubernetescrd.allowCrossNamespace=true', '--providers.kubernetescrd.allowEmptyServices=true', '--providers.kubernetescrd.allowExternalNameServices=true', '--providers.kubernetesingress.allowEmptyServices=true', '--providers.kubernetesingress.allowExternalNameServices=true'], 'env': [{'name': 'HUB_TOKEN', 'valueFrom': {'secretKeyRef': {'name': 'hub-agent-token', 'key': 'token'}}}, {'name': 'POD_NAME', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.name'}}}, {'name': 'POD_NAMESPACE', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.namespace'}}}], 'readinessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 1, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'livenessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 3, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'ports': [{'name': 'admission', 'containerPort': 7500, 'protocol': 'TCP'}, {'name': 'web', 'containerPort': 8000, 'protocol': 'TCP'}, {'name': 'websecure', 'containerPort': 8443, 'protocol': 'TCP'}, {'name': 'traefik', 'containerPort': 9000, 'protocol': 'TCP'}, {'name': 'metrics', 'containerPort': 9100, 'protocol': 'TCP'}], 'securityContext': {'allowPrivilegeEscalation': False, 'capabilities': {'drop': ['ALL']}, 'readOnlyRootFilesystem': True, 'runAsGroup': 65532, 'runAsNonRoot': True, 'runAsUser': 65532, 'seccompProfile': {'type': 'RuntimeDefault'}}, 'volumeMounts': [{'name': 'data', 'mountPath': '/var/lib/traefik'}, {'name': 'tmp', 'mountPath': '/tmp'}]}"
traefik-hub,CKV_K8S_35,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0/env/0']","You are a software engineer working on a Kubernetes project. You need to refactor the following Deployment YAML resource because prefer using secrets as files over secrets as environment variables. You must only generate YAML code between --- characters, with no additional text or description.","{'image': 'ghcr.io/traefik/traefik-hub:v2.11.0', 'imagePullPolicy': 'IfNotPresent', 'name': 'traefik', 'args': ['ic', '--entrypoints.metrics.address=:9100', '--entrypoints.traefik.address=:9000', '--entrypoints.web.address=:8000', '--entrypoints.websecure.address=:8443', '--entrypoints.websecure.http.tls=true', '--hub.admission.listenAddr=:7500', '--hub.token=$(HUB_TOKEN)', '--metrics.prometheus.entryPoint=metrics', '--ping.entrypoint=traefik', '--providers.kubernetescrd.allowCrossNamespace=true', '--providers.kubernetescrd.allowEmptyServices=true', '--providers.kubernetescrd.allowExternalNameServices=true', '--providers.kubernetesingress.allowEmptyServices=true', '--providers.kubernetesingress.allowExternalNameServices=true'], 'env': [{'name': 'HUB_TOKEN', 'valueFrom': {'secretKeyRef': {'name': 'hub-agent-token', 'key': 'token'}}}, {'name': 'POD_NAME', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.name'}}}, {'name': 'POD_NAMESPACE', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.namespace'}}}], 'readinessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 1, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'livenessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 3, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'ports': [{'name': 'admission', 'containerPort': 7500, 'protocol': 'TCP'}, {'name': 'web', 'containerPort': 8000, 'protocol': 'TCP'}, {'name': 'websecure', 'containerPort': 8443, 'protocol': 'TCP'}, {'name': 'traefik', 'containerPort': 9000, 'protocol': 'TCP'}, {'name': 'metrics', 'containerPort': 9100, 'protocol': 'TCP'}], 'securityContext': {'allowPrivilegeEscalation': False, 'capabilities': {'drop': ['ALL']}, 'readOnlyRootFilesystem': True, 'runAsGroup': 65532, 'runAsNonRoot': True, 'runAsUser': 65532, 'seccompProfile': {'type': 'RuntimeDefault'}}, 'volumeMounts': [{'name': 'data', 'mountPath': '/var/lib/traefik'}, {'name': 'tmp', 'mountPath': '/tmp'}]}"
traefik-hub,CKV_K8S_10,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']","You are a software engineer working on a Kubernetes project. You need to refactor the following Deployment YAML resource because cpu requests should be set. You must only generate YAML code between --- characters, with no additional text or description.","{'image': 'ghcr.io/traefik/traefik-hub:v2.11.0', 'imagePullPolicy': 'IfNotPresent', 'name': 'traefik', 'args': ['ic', '--entrypoints.metrics.address=:9100', '--entrypoints.traefik.address=:9000', '--entrypoints.web.address=:8000', '--entrypoints.websecure.address=:8443', '--entrypoints.websecure.http.tls=true', '--hub.admission.listenAddr=:7500', '--hub.token=$(HUB_TOKEN)', '--metrics.prometheus.entryPoint=metrics', '--ping.entrypoint=traefik', '--providers.kubernetescrd.allowCrossNamespace=true', '--providers.kubernetescrd.allowEmptyServices=true', '--providers.kubernetescrd.allowExternalNameServices=true', '--providers.kubernetesingress.allowEmptyServices=true', '--providers.kubernetesingress.allowExternalNameServices=true'], 'env': [{'name': 'HUB_TOKEN', 'valueFrom': {'secretKeyRef': {'name': 'hub-agent-token', 'key': 'token'}}}, {'name': 'POD_NAME', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.name'}}}, {'name': 'POD_NAMESPACE', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.namespace'}}}], 'readinessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 1, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'livenessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 3, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'ports': [{'name': 'admission', 'containerPort': 7500, 'protocol': 'TCP'}, {'name': 'web', 'containerPort': 8000, 'protocol': 'TCP'}, {'name': 'websecure', 'containerPort': 8443, 'protocol': 'TCP'}, {'name': 'traefik', 'containerPort': 9000, 'protocol': 'TCP'}, {'name': 'metrics', 'containerPort': 9100, 'protocol': 'TCP'}], 'securityContext': {'allowPrivilegeEscalation': False, 'capabilities': {'drop': ['ALL']}, 'readOnlyRootFilesystem': True, 'runAsGroup': 65532, 'runAsNonRoot': True, 'runAsUser': 65532, 'seccompProfile': {'type': 'RuntimeDefault'}}, 'volumeMounts': [{'name': 'data', 'mountPath': '/var/lib/traefik'}, {'name': 'tmp', 'mountPath': '/tmp'}]}"
traefik-hub,CKV_K8S_15,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']","You are a software engineer working on a Kubernetes project. You need to refactor the following Deployment YAML resource because image pull policy should be always. You must only generate YAML code between --- characters, with no additional text or description.","{'image': 'ghcr.io/traefik/traefik-hub:v2.11.0', 'imagePullPolicy': 'IfNotPresent', 'name': 'traefik', 'args': ['ic', '--entrypoints.metrics.address=:9100', '--entrypoints.traefik.address=:9000', '--entrypoints.web.address=:8000', '--entrypoints.websecure.address=:8443', '--entrypoints.websecure.http.tls=true', '--hub.admission.listenAddr=:7500', '--hub.token=$(HUB_TOKEN)', '--metrics.prometheus.entryPoint=metrics', '--ping.entrypoint=traefik', '--providers.kubernetescrd.allowCrossNamespace=true', '--providers.kubernetescrd.allowEmptyServices=true', '--providers.kubernetescrd.allowExternalNameServices=true', '--providers.kubernetesingress.allowEmptyServices=true', '--providers.kubernetesingress.allowExternalNameServices=true'], 'env': [{'name': 'HUB_TOKEN', 'valueFrom': {'secretKeyRef': {'name': 'hub-agent-token', 'key': 'token'}}}, {'name': 'POD_NAME', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.name'}}}, {'name': 'POD_NAMESPACE', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.namespace'}}}], 'readinessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 1, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'livenessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 3, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'ports': [{'name': 'admission', 'containerPort': 7500, 'protocol': 'TCP'}, {'name': 'web', 'containerPort': 8000, 'protocol': 'TCP'}, {'name': 'websecure', 'containerPort': 8443, 'protocol': 'TCP'}, {'name': 'traefik', 'containerPort': 9000, 'protocol': 'TCP'}, {'name': 'metrics', 'containerPort': 9100, 'protocol': 'TCP'}], 'securityContext': {'allowPrivilegeEscalation': False, 'capabilities': {'drop': ['ALL']}, 'readOnlyRootFilesystem': True, 'runAsGroup': 65532, 'runAsNonRoot': True, 'runAsUser': 65532, 'seccompProfile': {'type': 'RuntimeDefault'}}, 'volumeMounts': [{'name': 'data', 'mountPath': '/var/lib/traefik'}, {'name': 'tmp', 'mountPath': '/tmp'}]}"
traefik-hub,CKV_K8S_11,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']","You are a software engineer working on a Kubernetes project. You need to refactor the following Deployment YAML resource because cpu limits should be set. You must only generate YAML code between --- characters, with no additional text or description.","{'image': 'ghcr.io/traefik/traefik-hub:v2.11.0', 'imagePullPolicy': 'IfNotPresent', 'name': 'traefik', 'args': ['ic', '--entrypoints.metrics.address=:9100', '--entrypoints.traefik.address=:9000', '--entrypoints.web.address=:8000', '--entrypoints.websecure.address=:8443', '--entrypoints.websecure.http.tls=true', '--hub.admission.listenAddr=:7500', '--hub.token=$(HUB_TOKEN)', '--metrics.prometheus.entryPoint=metrics', '--ping.entrypoint=traefik', '--providers.kubernetescrd.allowCrossNamespace=true', '--providers.kubernetescrd.allowEmptyServices=true', '--providers.kubernetescrd.allowExternalNameServices=true', '--providers.kubernetesingress.allowEmptyServices=true', '--providers.kubernetesingress.allowExternalNameServices=true'], 'env': [{'name': 'HUB_TOKEN', 'valueFrom': {'secretKeyRef': {'name': 'hub-agent-token', 'key': 'token'}}}, {'name': 'POD_NAME', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.name'}}}, {'name': 'POD_NAMESPACE', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.namespace'}}}], 'readinessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 1, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'livenessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 3, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'ports': [{'name': 'admission', 'containerPort': 7500, 'protocol': 'TCP'}, {'name': 'web', 'containerPort': 8000, 'protocol': 'TCP'}, {'name': 'websecure', 'containerPort': 8443, 'protocol': 'TCP'}, {'name': 'traefik', 'containerPort': 9000, 'protocol': 'TCP'}, {'name': 'metrics', 'containerPort': 9100, 'protocol': 'TCP'}], 'securityContext': {'allowPrivilegeEscalation': False, 'capabilities': {'drop': ['ALL']}, 'readOnlyRootFilesystem': True, 'runAsGroup': 65532, 'runAsNonRoot': True, 'runAsUser': 65532, 'seccompProfile': {'type': 'RuntimeDefault'}}, 'volumeMounts': [{'name': 'data', 'mountPath': '/var/lib/traefik'}, {'name': 'tmp', 'mountPath': '/tmp'}]}"
traefik-hub,CKV_K8S_38,checkov,"['Deployment/default/traefik-hub', '']","You are a software engineer working on a Kubernetes project. You need to refactor the following Deployment YAML resource because ensure that service account tokens are only mounted where necessary. You must only generate YAML code between --- characters, with no additional text or description.","{'apiVersion': 'apps/v1', 'kind': 'Deployment', 'metadata': {'name': 'traefik-hub', 'namespace': 'default', 'labels': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default', 'helm.sh/chart': 'traefik-hub-4.2.0', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'selector': {'matchLabels': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default'}}, 'strategy': {'rollingUpdate': {'maxSurge': 1, 'maxUnavailable': 0}, 'type': 'RollingUpdate'}, 'minReadySeconds': 0, 'template': {'metadata': {'annotations': {'prometheus.io/scrape': 'true', 'prometheus.io/path': '/metrics', 'prometheus.io/port': '9100'}, 'labels': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default', 'helm.sh/chart': 'traefik-hub-4.2.0', 'app.kubernetes.io/managed-by': 'Helm'}}, 'spec': {'serviceAccountName': 'traefik-hub', 'affinity': {'podAntiAffinity': {'preferredDuringSchedulingIgnoredDuringExecution': [{'weight': 100, 'podAffinityTerm': {'labelSelector': {'matchExpressions': [{'key': 'name', 'operator': 'In', 'values': ['traefik']}]}, 'topologyKey': 'kubernetes.io/hostname'}}]}}, 'topologySpreadConstraints': [{'maxSkew': 2, 'topologyKey': 'topology.kubernetes.io/zone', 'whenUnsatisfiable': 'ScheduleAnyway', 'labelSelector': {'matchLabels': {'app.kubernetes.io/name': 'traefik-hub', 'app.kubernetes.io/instance': 'traefik-hub-default'}}}], 'terminationGracePeriodSeconds': 30, 'hostNetwork': False, 'priorityClassName': None, 'automountServiceAccountToken': True, 'containers': [{'image': 'ghcr.io/traefik/traefik-hub:v2.11.0', 'imagePullPolicy': 'IfNotPresent', 'name': 'traefik', 'args': ['ic', '--entrypoints.metrics.address=:9100', '--entrypoints.traefik.address=:9000', '--entrypoints.web.address=:8000', '--entrypoints.websecure.address=:8443', '--entrypoints.websecure.http.tls=true', '--hub.admission.listenAddr=:7500', '--hub.token=$(HUB_TOKEN)', '--metrics.prometheus.entryPoint=metrics', '--ping.entrypoint=traefik', '--providers.kubernetescrd.allowCrossNamespace=true', '--providers.kubernetescrd.allowEmptyServices=true', '--providers.kubernetescrd.allowExternalNameServices=true', '--providers.kubernetesingress.allowEmptyServices=true', '--providers.kubernetesingress.allowExternalNameServices=true'], 'env': [{'name': 'HUB_TOKEN', 'valueFrom': {'secretKeyRef': {'name': 'hub-agent-token', 'key': 'token'}}}, {'name': 'POD_NAME', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.name'}}}, {'name': 'POD_NAMESPACE', 'valueFrom': {'fieldRef': {'fieldPath': 'metadata.namespace'}}}], 'readinessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 1, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'livenessProbe': {'httpGet': {'path': '/ping', 'port': 9000, 'scheme': 'HTTP'}, 'failureThreshold': 3, 'initialDelaySeconds': 2, 'periodSeconds': 10, 'successThreshold': 1, 'timeoutSeconds': 2}, 'ports': [{'name': 'admission', 'containerPort': 7500, 'protocol': 'TCP'}, {'name': 'web', 'containerPort': 8000, 'protocol': 'TCP'}, {'name': 'websecure', 'containerPort': 8443, 'protocol': 'TCP'}, {'name': 'traefik', 'containerPort': 9000, 'protocol': 'TCP'}, {'name': 'metrics', 'containerPort': 9100, 'protocol': 'TCP'}], 'securityContext': {'allowPrivilegeEscalation': False, 'capabilities': {'drop': ['ALL']}, 'readOnlyRootFilesystem': True, 'runAsGroup': 65532, 'runAsNonRoot': True, 'runAsUser': 65532, 'seccompProfile': {'type': 'RuntimeDefault'}}, 'volumeMounts': [{'name': 'data', 'mountPath': '/var/lib/traefik'}, {'name': 'tmp', 'mountPath': '/tmp'}]}], 'securityContext': {'fsGroup': 65532}, 'volumes': [{'name': 'data', 'emptyDir': {}}, {'name': 'tmp', 'emptyDir': {}}]}}}}"
