Chart,Alert_ID,Tool,Resource,LLM,Fixed,Added_Lines,Changed_Lines,Removed_Lines,Standard_ID
traefik-hub,CKV_K8S_21,checkov,"['ServiceAccount/default/traefik-hub', '']",chatgpt,Fixed,0,1,0,check_26
traefik-hub,CKV_K8S_21,checkov,"['Service/default/admission', '']",chatgpt,Fixed,0,1,0,check_26
traefik-hub,CKV_K8S_10,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']",chatgpt,Fixed,19,0,0,check_4
traefik-hub,CKV_K8S_21,checkov,"['Service/default/traefik-hub', '']",chatgpt,Fixed,0,1,1,check_26
traefik-hub,CKV_K8S_21,checkov,"['Secret/default/hub-agent-cert', '']",chatgpt,Fixed,0,1,0,check_26
traefik-hub,CKV_K8S_35,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0/env/0']",chatgpt,Fixed,0,0,15,check_33
helmchart,CKV_K8S_31,checkov,"['Deployment/default/helmchart', '']",chatgpt,Fixed,4,1,0,check_31
traefik-hub,CKV_K8S_15,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']",chatgpt,Fixed,15,0,0,check_25
helmchart,CKV_K8S_21,checkov,"['Service/default/helmchart', '']",chatgpt,Fixed,1,0,0,check_26
traefik-hub,CKV_K8S_13,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']",chatgpt,Fixed,14,0,0,check_2
helmchart,CKV_K8S_37,checkov,"['Deployment/default/helmchart', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,17,0,0,check_34
traefik-hub,CKV_K8S_38,checkov,"['Deployment/default/traefik-hub', '']",chatgpt,Not_Fixed,0,1,4,check_35
traefik-hub,CKV_K8S_21,checkov,"['Deployment/default/traefik-hub', '']",chatgpt,Fixed,0,1,0,check_26
traefik-hub,CKV_K8S_43,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']",chatgpt,Fixed,15,0,0,check_9
traefik-hub,CKV_K8S_11,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']",chatgpt,Fixed,20,0,0,check_5
helmchart,CKV_K8S_15,checkov,"['Deployment/default/helmchart', 'spec/template/spec/containers/0']",chatgpt,Fixed,7,0,0,check_25
helmchart,CKV_K8S_20,checkov,"['Deployment/default/helmchart', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,16,0,0,check_22
helmchart,CKV_K8S_13,checkov,"['Deployment/default/helmchart', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,12,0,0,check_2
traefik-hub,CKV_K8S_12,checkov,"['Deployment/default/traefik-hub', 'spec/template/spec/containers/0']",chatgpt,Fixed,18,0,0,check_1
helmchart,CKV_K8S_21,checkov,"['ServiceAccount/default/helmchart', '']",chatgpt,Not_Fixed,1,0,0,check_26
helmchart,CKV_K8S_38,checkov,"['Deployment/default/helmchart', '']",chatgpt,Not_Fixed,0,1,2,check_35
helmchart,CKV_K8S_23,checkov,"['Deployment/default/helmchart', '']",chatgpt,Not_Fixed,4,1,0,check_28
helmchart,CKV_K8S_11,checkov,"['Deployment/default/helmchart', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,18,0,0,check_5
helmchart,CKV_K8S_28,checkov,"['Deployment/default/helmchart', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,18,0,0,check_34
helmchart,CKV_K8S_22,checkov,"['Deployment/default/helmchart', 'spec/template/spec/containers/0']",chatgpt,Fixed,16,0,0,check_27
helmchart,CKV_K8S_21,checkov,"['Deployment/default/helmchart', '']",chatgpt,Fixed,1,0,0,check_26
helmchart,CKV_K8S_40,checkov,"['Deployment/default/helmchart', '']",chatgpt,Fixed,4,1,0,check_13
helmchart,CKV_K8S_43,checkov,"['Deployment/default/helmchart', 'spec/template/spec/containers/0']",chatgpt,Fixed,15,0,0,check_9
helmchart,CKV_K8S_13,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_2
helmchart,CKV_K8S_10,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_4
helmchart,CKV_K8S_37,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,10,0,0,check_34
helmchart,CKV_K8S_29,checkov,"['Pod/default/helmchart-test-connection', '']",chatgpt,Not_Fixed,7,1,0,check_30
helmchart,CKV_K8S_9,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,14,0,0,check_8
helmchart,CKV_K8S_20,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,8,0,0,check_22
helmchart,CKV_K8S_23,checkov,"['Pod/default/helmchart-test-connection', '']",chatgpt,Fixed,6,1,0,check_28
helmchart,CKV_K8S_30,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,10,0,0,check_30
helmchart,CKV_K8S_28,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,10,0,0,check_34
helmchart,CKV_K8S_31,checkov,"['Pod/default/helmchart-test-connection', '']",chatgpt,Fixed,3,0,0,check_31
helmchart,CKV_K8S_11,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_5
helmchart,CKV_K8S_21,checkov,"['Pod/default/helmchart-test-connection', '']",chatgpt,Fixed,1,0,0,check_26
helmchart,CKV_K8S_22,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,8,0,0,check_27
helmchart,CKV_K8S_38,checkov,"['Pod/default/helmchart-test-connection', '']",chatgpt,Fixed,1,0,0,check_35
helmchart,CKV_K8S_14,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,6,0,0,check_0
helmchart,CKV_K8S_43,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,6,0,0,check_9
helmchart,CKV_K8S_12,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_1
helmchart,CKV2_K8S_6,checkov,"['Pod/default/helmchart-test-connection', 'resource_type']",chatgpt,Not_Fixed,7,0,0,check_40
helmchart,CKV_K8S_8,checkov,"['Pod/default/helmchart-test-connection', 'spec/containers/0']",chatgpt,Fixed,12,0,0,check_7
helmchart,CKV_K8S_40,checkov,"['Pod/default/helmchart-test-connection', '']",chatgpt,Fixed,3,1,0,check_13
ussigw-configuration,CKV_K8S_21,checkov,"['Service/default/ussigw-configuration-service', '']",chatgpt,Fixed,1,0,0,check_26
ussigw-configuration,CKV_K8S_13,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Fixed,20,0,0,check_2
ussigw-configuration,CKV_K8S_37,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,19,0,0,check_34
ussigw-configuration,CKV_K8S_10,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,11,0,0,check_4
ussigw-configuration,CKV_K8S_15,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,26,0,0,check_25
ussigw-configuration,CKV_K8S_30,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,29,0,0,check_30
ussigw-configuration,CKV_K8S_9,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,21,0,0,check_8
ussigw-configuration,CKV_K8S_31,checkov,"['Deployment/default/configuration', '']",chatgpt,Not_Fixed,3,1,0,check_31
ussigw-configuration,CKV_K8S_28,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,30,0,0,check_34
ussigw-configuration,CKV_K8S_29,checkov,"['Deployment/default/configuration', '']",chatgpt,Not_Fixed,4,1,0,check_30
ussigw-configuration,CKV_K8S_23,checkov,"['Deployment/default/configuration', '']",chatgpt,Not_Fixed,3,1,0,check_28
ussigw-configuration,CKV_K8S_22,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,17,0,0,check_27
ussigw-configuration,CKV_K8S_21,checkov,"['Deployment/default/configuration', '']",chatgpt,Not_Fixed,1,0,0,check_26
ussigw-configuration,CKV_K8S_11,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,30,0,0,check_5
ussigw-configuration,CKV_K8S_8,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,21,0,0,check_7
ussigw-configuration,CKV_K8S_20,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,28,0,0,check_22
ussigw-configuration,CKV_K8S_38,checkov,"['Deployment/default/configuration', '']",chatgpt,Not_Fixed,1,1,0,check_35
ussigw-configuration,CKV_K8S_43,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,8,0,0,check_9
ussigw-configuration,CKV_K8S_21,checkov,"['ConfigMap/default/ussigw-conf-configmap', '']",chatgpt,Not_Fixed,1,0,0,check_26
ussigw-configuration,CKV_K8S_21,checkov,"['ConfigMap/default/ussigw-conf-data-configmap', '']",chatgpt,Not_Fixed,0,0,0,check_26
ussigw-configuration,CKV_K8S_40,checkov,"['Deployment/default/configuration', '']",chatgpt,Not_Fixed,3,1,0,check_13
ussigw-configuration,CKV_K8S_12,checkov,"['Deployment/default/configuration', 'spec/template/spec/containers/0']",chatgpt,Not_Fixed,13,0,0,check_1
ussigw-configuration,CKV_K8S_21,checkov,"['ConfigMap/default/ussigw-conf-properties-configmap', '']",chatgpt,Not_Fixed,0,1,0,check_26
ussigw-configuration,CKV_K8S_13,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Not_Fixed,9,0,0,check_2
ussigw-configuration,CKV_K8S_37,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,8,0,0,check_34
ussigw-configuration,CKV_K8S_10,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_4
ussigw-configuration,CKV_K8S_15,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,7,0,0,check_25
ussigw-configuration,CKV_K8S_30,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,10,0,0,check_30
ussigw-configuration,CKV_K8S_9,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,13,0,0,check_8
ussigw-configuration,CKV_K8S_31,checkov,"['Pod/default/dummy-test', '']",chatgpt,Fixed,3,0,0,check_31
ussigw-configuration,CKV_K8S_29,checkov,"['Pod/default/dummy-test', '']",chatgpt,Fixed,6,1,0,check_30
ussigw-configuration,CKV_K8S_28,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,10,0,0,check_34
ussigw-configuration,CKV_K8S_23,checkov,"['Pod/default/dummy-test', '']",chatgpt,Fixed,3,1,0,check_28
ussigw-configuration,CKV_K8S_38,checkov,"['Pod/default/dummy-test', '']",chatgpt,Not_Fixed,1,0,0,check_35
ussigw-configuration,CKV_K8S_20,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,8,0,0,check_22
ussigw-configuration,CKV_K8S_22,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,8,0,0,check_27
ussigw-configuration,CKV_K8S_11,checkov,"['Pod/default/dummy-test', 'spec/containers/0']",chatgpt,Fixed,9,0,0,check_5
