Chart,Alert_ID,Tool,LLM,Syntax_Improvement,Changed_Lines,Added_Lines,Removed_Lines
traefik-hub,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
traefik-hub,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
traefik-hub,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
traefik-hub,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,1
traefik-hub,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,0,24,14,0
traefik-hub,CKV_K8S_35,checkov,ChatGPT-gpt-4o-mini,0,20,0,15
traefik-hub,CKV_K8S_10,checkov,ChatGPT-gpt-4o-mini,1,24,19,0
traefik-hub,CKV_K8S_15,checkov,ChatGPT-gpt-4o-mini,1,24,15,0
traefik-hub,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,24,20,0
traefik-hub,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,0,4
traefik-hub,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,1,0,0
traefik-hub,CKV_K8S_12,checkov,ChatGPT-gpt-4o-mini,1,24,18,0
traefik-hub,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,1,24,15,0
helmchart,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
helmchart,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
helmchart,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,0,10,12,0
helmchart,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,10,17,0
helmchart,CKV_K8S_15,checkov,ChatGPT-gpt-4o-mini,0,10,7,0
helmchart,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,4,0
helmchart,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,10,18,0
helmchart,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,0,4,0
helmchart,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,10,16,0
helmchart,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,10,18,0
helmchart,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,0,2
helmchart,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,1,10,16,0
helmchart,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
helmchart,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,1,11,15,0
helmchart,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,4,0
helmchart,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,1,9,0
helmchart,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,1,10,0
helmchart,CKV_K8S_10,checkov,ChatGPT-gpt-4o-mini,1,1,9,0
helmchart,CKV_K8S_30,checkov,ChatGPT-gpt-4o-mini,1,1,10,0
helmchart,CKV_K8S_9,checkov,ChatGPT-gpt-4o-mini,1,1,14,0
helmchart,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
helmchart,CKV_K8S_29,checkov,ChatGPT-gpt-4o-mini,0,0,7,0
helmchart,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,1,10,0
helmchart,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,0,6,0
helmchart,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,1,8,0
helmchart,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,1,9,0
helmchart,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
helmchart,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,1,1,8,0
helmchart,CKV_K8S_8,checkov,ChatGPT-gpt-4o-mini,1,1,12,0
helmchart,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
helmchart,CKV_K8S_12,checkov,ChatGPT-gpt-4o-mini,1,1,9,0
helmchart,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,1,1,6,0
helmchart,CKV_K8S_14,checkov,ChatGPT-gpt-4o-mini,1,1,6,0
helmchart,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
helmchart,CKV2_K8S_6,checkov,ChatGPT-gpt-4o-mini,0,0,7,0
ussigw-configuration,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
ussigw-configuration,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,16,20,0
ussigw-configuration,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,16,19,0
ussigw-configuration,CKV_K8S_10,checkov,ChatGPT-gpt-4o-mini,0,16,11,0
ussigw-configuration,CKV_K8S_15,checkov,ChatGPT-gpt-4o-mini,1,9,26,0
ussigw-configuration,CKV_K8S_30,checkov,ChatGPT-gpt-4o-mini,1,9,29,0
ussigw-configuration,CKV_K8S_9,checkov,ChatGPT-gpt-4o-mini,1,16,21,0
ussigw-configuration,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
ussigw-configuration,CKV_K8S_29,checkov,ChatGPT-gpt-4o-mini,0,0,4,0
ussigw-configuration,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,10,30,0
ussigw-configuration,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
ussigw-configuration,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,10,28,0
ussigw-configuration,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,9,30,0
ussigw-configuration,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
ussigw-configuration,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,0,9,17,0
ussigw-configuration,CKV_K8S_8,checkov,ChatGPT-gpt-4o-mini,1,16,21,0
ussigw-configuration,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
ussigw-configuration,CKV_K8S_12,checkov,ChatGPT-gpt-4o-mini,0,16,13,0
ussigw-configuration,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,0,16,8,0
ussigw-configuration,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
ussigw-configuration,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
ussigw-configuration,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,0,0
ussigw-configuration,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,0,0
ussigw-configuration,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,6,9,0
ussigw-configuration,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,6,8,0
ussigw-configuration,CKV_K8S_10,checkov,ChatGPT-gpt-4o-mini,1,6,9,0
ussigw-configuration,CKV_K8S_15,checkov,ChatGPT-gpt-4o-mini,1,6,7,0
ussigw-configuration,CKV_K8S_30,checkov,ChatGPT-gpt-4o-mini,1,6,10,0
ussigw-configuration,CKV_K8S_9,checkov,ChatGPT-gpt-4o-mini,1,6,13,0
ussigw-configuration,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
ussigw-configuration,CKV_K8S_29,checkov,ChatGPT-gpt-4o-mini,0,0,6,0
ussigw-configuration,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,6,10,0
ussigw-configuration,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,0,3,0
ussigw-configuration,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,6,8,0
ussigw-configuration,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,6,9,0
ussigw-configuration,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
ussigw-configuration,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,1,6,8,0
ussigw-configuration,CKV_K8S_8,checkov,ChatGPT-gpt-4o-mini,1,6,13,0
ussigw-configuration,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
ussigw-configuration,CKV_K8S_12,checkov,ChatGPT-gpt-4o-mini,1,6,9,0
ussigw-configuration,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,1,1,6,0
ussigw-configuration,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,2,0
ussigw-configuration,CKV2_K8S_6,checkov,ChatGPT-gpt-4o-mini,0,0,2,0
deis-workflow,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
deis-workflow,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
deis-workflow,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,11,19,0
deis-workflow,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,11,15,0
deis-workflow,CKV_K8S_15,checkov,ChatGPT-gpt-4o-mini,1,11,15,0
deis-workflow,CKV_K8S_31,checkov,ChatGPT-gpt-4o-mini,0,0,4,0
deis-workflow,CKV_K8S_28,checkov,ChatGPT-gpt-4o-mini,1,10,18,0
deis-workflow,CKV_K8S_23,checkov,ChatGPT-gpt-4o-mini,0,0,5,0
deis-workflow,CKV_K8S_20,checkov,ChatGPT-gpt-4o-mini,1,10,16,0
deis-workflow,CKV_K8S_11,checkov,ChatGPT-gpt-4o-mini,1,10,18,0
deis-workflow,CKV_K8S_38,checkov,ChatGPT-gpt-4o-mini,0,0,0,2
deis-workflow,CKV_K8S_22,checkov,ChatGPT-gpt-4o-mini,1,10,16,0
deis-workflow,CKV_K8S_21,checkov,ChatGPT-gpt-4o-mini,0,0,1,0
deis-workflow,CKV_K8S_43,checkov,ChatGPT-gpt-4o-mini,1,10,14,0
deis-workflow,CKV_K8S_40,checkov,ChatGPT-gpt-4o-mini,0,0,4,0
deis-workflow,CKV_K8S_13,checkov,ChatGPT-gpt-4o-mini,1,1,9,0
deis-workflow,CKV_K8S_37,checkov,ChatGPT-gpt-4o-mini,1,1,10,0
deis-workflow,CKV_K8S_10,checkov,ChatGPT-gpt-4o-mini,1,1,9,0
deis-workflow,CKV_K8S_30,checkov,ChatGPT-gpt-4o-mini,1,1,10,0
